{uuid},{properties.title},{properties.url},{properties.guardian},{properties.description},{properties.type},{properties.id},{properties.thumbnail},{latitude},{longitude},"{$.@id=""https://w3id.org/locolligo/VisitPlus-UK""}","{$.indexing=""indexing_VisitPlus-UK.json""}"
0,Churchtown Wedge Tomb: Todd's Den,http://www.irishmegaliths.org.uk/tyrone.htm,Historic Environment (Northern Ireland),,Tyrone,TYR 016:017,,54.718225,-7.583658,,
1,Errigal Keerogue Cross and Church,"http://www.megalithicireland.com/Errigal%20Keerogue,%20Tyrone.html",Historic Environment (Northern Ireland),,Tyrone,TYR 059:006,,54.458647,-7.098123,,
2,Kilnasaggart Pillar Stone,http://www.megalithicireland.com/Kilnasaggart.htm,Historic Environment (Northern Ireland),,Armagh,ARM 032:006,,54.072266,-6.378789,,
3,Nendrum Ecclesiastical Site,http://www.megalithicireland.com/Nendrum%20Monastery.html,Historic Environment (Northern Ireland),,Down,DOW 017:005,,54.498208,-5.647763,,
4,Raholp Church,http://www.saintsandstones.net/saints-tassach-journey.htm,Historic Environment (Northern Ireland),,Down,DOW 031:003,,54.356293,-5.630682,,
5,Barclodiad y Gawres Burial Chamber,https://cadw.gov.wales/visit/places-to-visit/barclodiad-y-gawres-burial-chamber,CADW,An atmospheric tomb with rare examples of prehistoric art,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NVW-C78-1112-1076.JPG?itok=hZ6QC4F6,53.20731772,-4.503622055,,
6,Basingwerk Abbey,https://cadw.gov.wales/visit/places-to-visit/basingwerk-abbey,CADW,A medieval religious centre that’s still a place of pilgrimage,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-SC01-1516-0468.jpg?itok=yiUsEMSy,53.28810281,-3.207600117,,
7,Beaumaris Castle,https://cadw.gov.wales/visit/places-to-visit/beaumaris-castle,CADW,Fortress of near-perfect symmetry is an unfinished masterpiece,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-KC01-1617-0209.jpg?itok=NHLfNZgy,53.26483753,-4.08970356,,
8,Blaenavon Ironworks,https://cadw.gov.wales/visit/places-to-visit/blaenavon-ironworks,CADW,Giant of the industrial age still stands tall on the shoulders of its workers,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2020-11/Blaenavon-Cottages---Stack-Square.jpg?itok=Xn4xbxmY,51.77724049,-3.088617325,,
9,Bodowyr Burial Chamber,https://cadw.gov.wales/visit/places-to-visit/bodowyr-burial-chamber,CADW,Neolithic standing stones still shrouded in mystery,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-SC01-1516-0058_0.jpg?itok=wK9iQ-Kf,53.18828048,-4.303014278,,
10,Brecon Gaer Roman Fort,https://cadw.gov.wales/visit/places-to-visit/brecon-gaer-roman-fort,CADW,Rural remains of a major military outpost,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/MCX-BZ01-1112-0011.jpg?itok=EzvOK1aa,51.95674671,-3.452970416,,
11,Bronllys Castle,https://cadw.gov.wales/visit/places-to-visit/bronllys-castle,CADW,Sturdy stone tower with a turbulent history,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/MCX-BZ07-0910-009.jpg?itok=vdAfeLhb,52.00361527,-3.240516186,,
12,Bryn Celli Ddu Burial Chamber,https://cadw.gov.wales/visit/places-to-visit/bryn-celli-ddu-burial-chamber,CADW,Iconic Neolithic tomb with a celestial secret,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NVW-C71-1011-0171.JPG?itok=eBqRTezY,53.20479876,-4.239692688,,
13,Bryntail Lead Mine Buildings,https://cadw.gov.wales/visit/places-to-visit/bryntail-lead-mine-buildings,CADW,Peaceful remains of a busy industrial hub,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/MCX-BZ05-0910-001.jpg?itok=4I0N3LeD,52.46871711,-3.600597382,,
14,Cae'r Gors,https://cadw.gov.wales/visit/places-to-visit/caer-gors,CADW,Childhood home of a literary heroine and showcase for a unique industrial landscape,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-EQ50-1213-0217.jpg?itok=ftSJFPe7,53.09206543,-4.231249094,,
15,Caergwrle Castle ,https://cadw.gov.wales/visit/places-to-visit/caergwrle-castle,CADW,,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NCX-AQZ-001-0715.jpg?itok=8ZOmUkM6,53.10742,-3.03694,,
16,Caer Gybi Roman Fortlet,https://cadw.gov.wales/visit/places-to-visit/caer-gybi-roman-fortlet,CADW,Northern military outpost in a strategic coastal location,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/NVW-C71-1011-0002.JPG?itok=m5WGxoAu,53.31286997,-4.630512089,,
17,Caer Lêb,https://cadw.gov.wales/visit/places-to-visit/caer-leb,CADW,Prehistoric settlement with Roman and medieval connections,,,https://cadw.gov.wales/sites/default/files/styles/promo/public/2019-05/Caer%20Leb%20011-000-916.jpg?itok=ykll6uP7,53.1818663,-4.28674,,
